name,mood
1999,Happy
23,Sad
9 Crimes,Sad
99 Luftballons,Happy
A Boy Brushed Red Living In Black And White,Energetic
A Burden to Bear,Calm
A La Plage,Calm
A Little Less Conversation - JXL Radio Edit Remix,Happy
A Place for My Head,Energetic
ATTACK,Energetic
Adagio For Strings,Energetic
Adjustments,Calm
Adrift,Calm
Afraid of Heights,Energetic
Africa,Happy
After The Rain,Calm
Afterlife,Energetic
Algo Rhythm,Sad
Alison,Sad
Alive,Energetic
All I Want,Sad
All Mirrors,Sad
All These Things I Hate (Revolve Around Me),Energetic
All in the Suit That You Wear,Energetic
All of Me,Sad
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Happy
Always,Energetic
Ambre,Calm
Anaviosi,Calm
Anchor,Sad
Andromeda,Sad
Angel's Song,Sad
Angry Chair,Energetic
Anthem,Happy
Anthem of Our Dying Day,Energetic
Are You Gonna Be My Girl,Happy
As I Sleep (feat. Charlee),Energetic
Ashes to Ashes,Sad
Atlavík,Calm
Auburn Sky,Calm
Awaken,Calm
Away From Me,Energetic
Back Where I Belong (feat. Avicii),Energetic
Back+,Calm
Bad Feeling,Sad
Bad Kingdom,Sad
Bad Timing,Sad
Ballad of the Dying Man,Sad
Balloon,Calm
Bat Country,Energetic
Bayybe 07,Calm
Be My Mistake,Sad
Beautiful Life,Happy
Beautiful Night,Energetic
Beekweide,Calm
Before You Go,Sad
Bennie And The Jets - Remastered 2014,Happy
Better Than Today,Sad
Better Together,Happy
Betty,Calm
Billinghurst,Energetic
Bird,Sad
Bison on the Plains,Sad
Black Car,Sad
Blackout,Energetic
Blame,Energetic
Blaster,Energetic
Bleed American,Energetic
Bloodbuzz Ohio,Sad
Bloom,Calm
Bloom Innocent,Sad
Blow,Happy
Body Rock,Happy
Boiler,Energetic
Bortom Träden,Calm
Bottom Of The Sea,Happy
Bottom of a Bottle,Energetic
Bouquet with Lilies,Calm
Break Stuff,Energetic
Breathe,Calm
Breathe Me,Sad
Brimful of Asha - Norman Cook Remix,Happy
Bruises,Sad
Butterfly,Happy
Bye Bye Little House,Calm
California Dreamin',Happy
Calm Wilderness,Calm
Car Underwater,Energetic
Chariot,Sad
Children Of Today,Energetic
Chocolate,Happy
Chop Suey!,Energetic
City Lights,Calm
Clap Your Hands,Happy
Cleansing,Calm
Clear Skies,Calm
Click Click Boom,Energetic
Coda,Calm
Cold Arms,Sad
Cold Nights,Sad
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Energetic
Colgando,Calm
Collapse Into Light,Calm
Come On Eileen,Happy
Come Out And Play (Keep ‘Em Separated),Energetic
Coming Home,Calm
Coming Undone,Energetic
Consequences,Sad
Conversation,Sad
Count On You - ATFC's C-thru Remix,Happy
Count That - R3HAB Edit,Energetic
Courage,Calm
Crash,Happy
Crawling In The Dark,Energetic
Crazy,Happy
Crazy Horses,Happy
Creep,Sad
Crossing,Calm
Crystal Baller - 2006 Remaster,Energetic
Crystal Shores,Calm
Curiosity,Calm
Curious Morning,Calm
Cursive,Sad
Daar Gaat Ze,Happy
Dance Little Sister,Happy
Dancing On My Own,Sad
Dancing Through Sunday,Energetic
Dancing With Your Ghost,Sad
Dancing With an Astronaut,Sad
Dani California,Energetic
Dark Side of the Gym,Sad
Darkest Hour,Sad
Dawning,Calm
Day 5: For Carol,Calm
De Fléche,Calm
Dear Diary,Sad
Deep Dark Jungle,Happy
Den inre skogen,Calm
Desire Lines,Sad
Devotion And Desire,Energetic
Dew Drops,Calm
Dive,Sad
Do Bad Well (feat. Nevve),Energetic
Do It Again,Energetic
Dolerme,Sad
Don't Stop,Happy
Don't Stop Me Now - 2011 Mix,Happy
Don't You (Forget About Me) - Remastered,Happy
Don’t Delete The Kisses,Sad
Down On The Corner,Happy
Dragula,Energetic
Dreams Tonite,Sad
Drifting,Calm
Driver's Seat,Happy
Duality,Energetic
Duck And Run,Energetic
Dust On The Ground,Sad
EDM Sux,Energetic
Eagle,Calm
Easily,Sad
Easy Lover,Happy
Eden - Hunted Version,Sad
Edge of Seventeen,Happy
Eidolon,Calm
Electronic Memories (feat. Mickey Kojak),Energetic
Emotions in Motion,Sad
Empty Street at Night,Calm
Enemy,Energetic
Escaping Time,Calm
Essential Attitudes,Calm
Event Horizon,Calm
Every Kinda People,Happy
Every Way,Energetic
